citing_doi,arxiv_id,source,doi_asserted_by,crossref_found,crossref_has_references,crossref_structured_doi_match,crossref_unstructured_match,crossref_reference_key,crossref_error,openalex_citing_found,openalex_arxiv_in_refs,openalex_arxiv_work_id,openalex_error,datacite_event_found,datacite_total_events,datacite_error,opencitations_citing_found,opencitations_arxiv_in_refs,opencitations_oci,opencitations_error,notes
10.1007/978-981-19-5443-6_21,1412.6980,asserted,,True,True,False,True,21_CR10,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1016/j.trc.2018.03.001,1412.6980,asserted,,True,True,False,True,10.1016/j.trc.2018.03.001_b0100,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1109/access.2024.3482459,1412.6980,asserted,,True,True,False,True,ref26,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/s12583-022-1672-7,1412.6980,asserted,,True,True,False,True,1672_CR22,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1145/3581783.3612246,1412.6980,asserted,,True,True,False,True,e_1_3_2_1_15_1,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.3390/e24070965,1412.6980,asserted,,True,True,False,True,ref_44,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1214/24-aoas1985,1412.6980,asserted,,True,True,False,True,22,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1145/3476828,1412.6980,asserted,,True,True,False,True,e_1_2_2_24_1,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1016/j.infrared.2021.103960,1412.6980,asserted,,True,True,False,True,10.1016/j.infrared.2021.103960_b0090,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.37221/eaef.18.1_11,1412.6980,asserted,,True,True,False,True,9,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1016/j.isprsjprs.2024.10.013,1412.6980,asserted,,True,True,False,True,10.1016/j.isprsjprs.2024.10.013_b0150,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1029/2023wr035790,1412.6980,asserted,,True,True,False,True,e_1_2_9_47_1,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1145/3209978.3210042,1412.6980,asserted,,True,True,False,True,e_1_3_2_1_16_1,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1145/3474085.3475584,1412.6980,asserted,,True,True,False,True,e_1_3_2_1_21_1,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-3-031-73411-3_27,1412.6980,asserted,,True,True,False,True,27_CR27,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1145/3219819.3220033,1412.6980,asserted,,True,True,False,True,e_1_3_2_1_18_1,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1145/3746027.3754783,1412.6980,asserted,,True,True,False,True,e_1_3_2_1_24_1,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/s00779-020-01516-x,1412.6980,asserted,,True,True,False,True,1516_CR43,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1002/hbm.70322,1412.6980,asserted,,True,True,False,True,e_1_2_9_28_1,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-981-97-2266-2_1,1412.6980,asserted,,True,True,False,True,1_CR13,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-981-96-0972-7_3,1412.6980,asserted,,True,True,False,True,3_CR10,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-3-031-45857-6_12,1412.6980,asserted,publisher,True,True,True,False,12_CR15,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1002/cpe.6420,1412.6980,asserted,,True,True,False,True,e_1_2_7_37_1,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/s11042-021-11185-4,1412.6980,asserted,,True,True,False,True,11185_CR71,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1016/j.bej.2025.109908,1412.6980,asserted,,True,True,False,True,10.1016/j.bej.2025.109908_bib48,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.34133/2022/9854084,1412.6980,asserted,,True,True,False,True,e_1_3_5_32_2,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-3-030-58568-6_41,1412.6980,asserted,,True,True,False,True,41_CR12,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1109/tgrs.2023.3236624,1412.6980,asserted,,True,True,False,True,ref55,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1175/aies-d-23-0043.1,1412.6980,asserted,,True,True,False,True,bib28,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1145/3501247.3531580,1412.6980,asserted,,True,True,False,True,e_1_3_2_2_26_1,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.5194/essd-13-889-2021,1412.6980,asserted,,True,True,False,True,ref28,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/s41060-024-00546-5,1412.6980,asserted,,True,True,False,True,546_CR20,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.26634/jmat.12.1.19398,1412.6980,asserted,publisher,True,True,True,False,ref11,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1038/s41467-022-35149-w,1412.6980,asserted,,True,True,False,True,35149_CR58,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1016/j.ssci.2021.105276,1412.6980,asserted,,True,True,False,True,10.1016/j.ssci.2021.105276_b0215,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/s12145-022-00922-4,1412.6980,asserted,,True,True,False,True,922_CR26,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1126/sciimmunol.ade7953,1412.6980,asserted,,True,True,False,True,e_1_3_3_78_2,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1145/3587819.3590972,1412.6980,asserted,,True,True,False,True,e_1_3_2_1_32_1,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1016/j.engfailanal.2020.104906,1412.6980,asserted,,True,True,False,True,10.1016/j.engfailanal.2020.104906_b0125,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1016/j.oceaneng.2024.120263,1412.6980,asserted,,True,True,False,True,10.1016/j.oceaneng.2024.120263_bib16,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1121/10.0005888,1412.6980,asserted,,True,True,False,True,2023071703475125500_c43,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1145/3758096,1412.6980,asserted,,True,True,False,True,e_1_3_2_58_2,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-3-031-25755-1_13,1412.6980,asserted,,True,True,False,True,13_CR29,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1190/segam2019-3215277.1,1412.6980,asserted,,True,True,False,True,R4,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.5515/kjkiees.2023.34.12.927,1412.6980,asserted,,True,True,False,True,key2.0240123071107e+13_B12,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.3103/s0027134923070159,1412.6980,asserted,publisher,True,True,True,False,8476_CR28,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1016/j.csl.2021.101204,1412.6980,asserted,,True,True,False,True,10.1016/j.csl.2021.101204_bib0040,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-3-030-58529-7_34,1412.6980,asserted,,True,True,False,True,34_CR20,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1038/s41598-021-01227-0,1412.6980,asserted,,True,True,False,True,1227_CR29,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1145/3411763.3451657,1412.6980,asserted,,True,True,False,True,e_1_3_2_2_17_1,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.53759/7669/jmc202404075,1412.6980,asserted,,True,True,False,True,ref34,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1101/2023.11.22.566213,1412.6980,asserted,publisher,True,True,True,False,2023112500100521000_2023.11.22.566213v1.56,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1177/21925682241299332,1412.6980,asserted,,True,True,False,True,e_1_3_7_14_2,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1109/tits.2022.3183073,1412.6980,asserted,,True,True,False,True,ref37,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1186/s42490-019-0026-8,1412.6980,asserted,,True,True,False,True,26_CR30,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1145/3488560.3498461,1412.6980,asserted,,True,True,False,True,e_1_3_2_2_19_1,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1016/j.jksuci.2023.101651,1412.6980,asserted,,True,True,False,True,10.1016/j.jksuci.2023.101651_b0180,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1016/j.patrec.2021.06.019,1412.6980,asserted,,True,True,False,True,10.1016/j.patrec.2021.06.019_bib0027,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.3389/fnbot.2023.1148892,1412.6980,asserted,publisher,True,True,True,False,B15,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
